"","constituency","code","vaxed","pop","per_vax","lab_share"
"77","BROXBOURNE","E14000606",65506,110940,0.590463313502794,0.23
"78","BROXTOWE","E14000607",68729,105035,0.654343790165183,0.39
"79","BUCKINGHAM","E14000608",77809,116952,0.665307134550927,0.12
"80","BURNLEY","E14000609",56203,98431,0.570988814499497,0.37
"81","BURTON","E14000610",71294,119324,0.597482484663605,0.31
"82","BURY NORTH","E14000611",60081,97425,0.616689761354888,0.46
"83","BURY SOUTH","E14000612",65432,109301,0.598640451596966,0.43
"84","BURY ST EDMUNDS","E14000613",84459,121986,0.692366337120653,0.21
"85","CALDER VALLEY","E14000614",74401,108953,0.682872431231816,0.42
"86","CAMBERWELL AND PECKHAM","E14000615",72588,156112,0.464973864917495,0.71
"87","CAMBORNE AND REDRUTH","E14000616",64841,100579,0.644677318326887,0.36
"88","CAMBRIDGE","E14000617",84067,170695,0.492498315709306,0.48
"89","CANNOCK CHASE","E14000618",69816,102525,0.680965618141917,0.25
"90","CANTERBURY","E14000619",74003,126720,0.583988320707071,0.48
"91","CARLISLE","E14000620",60093,91042,0.660057995211002,0.36
"92","CARSHALTON AND WALLINGTON","E14000621",64401,111827,0.575898486054352,0.12
"93","CASTLE POINT","E14000622",63442,94807,0.669169997995929,0.17
"94","CENTRAL DEVON","E14000623",69586,99305,0.7007300740144,0.25
"95","CENTRAL SUFFOLK AND NORTH IPSWICH","E14000624",75703,107589,0.703631412133211,0.21
"96","CHARNWOOD","E14000625",73647,107871,0.682732152293017,0.23
"97","CHATHAM AND AYLESFORD","E14000626",62144,107472,0.578234330802442,0.24
"98","CHEADLE","E14000627",68223,101587,0.67157214997982,0.12
"99","CHELMSFORD","E14000628",74380,119212,0.623930476797638,0.18
"100","CHELSEA AND FULHAM","E14000629",66977,136289,0.491433644681522,0.23
"101","CHELTENHAM","E14000630",75974,114917,0.66112063489301,0.05
"102","CHESHAM AND AMERSHAM","E14000631",67774,103204,0.656699352738266,0.13
"103","CHESTERFIELD","E14000632",67789,96496,0.702505803349362,0.4
"104","CHICHESTER","E14000633",81456,121361,0.671187613813334,0.15
